Location,Period,Indicator,First Tooltip
Nicaragua,2013,Men who have sex with men (MSM) with active syphilis (%),5.1
Nicaragua,2011,Men who have sex with men (MSM) with active syphilis (%),5.1
Nicaragua,2010,Men who have sex with men (MSM) with active syphilis (%),2.01
Niger,2018,Men who have sex with men (MSM) with active syphilis (%),9.5
Nigeria,2008,Men who have sex with men (MSM) with active syphilis (%),0
Panama,2018,Men who have sex with men (MSM) with active syphilis (%),15.6
Panama,2017,Men who have sex with men (MSM) with active syphilis (%),18.7
Panama,2016,Men who have sex with men (MSM) with active syphilis (%),27.59
Panama,2014,Men who have sex with men (MSM) with active syphilis (%),32.2
Panama,2013,Men who have sex with men (MSM) with active syphilis (%),29.2
Panama,2012,Men who have sex with men (MSM) with active syphilis (%),30.43
Papua New Guinea,2016,Men who have sex with men (MSM) with active syphilis (%),4.3
Paraguay,2018,Men who have sex with men (MSM) with active syphilis (%),13.5
Paraguay,2017,Men who have sex with men (MSM) with active syphilis (%),10.7
Paraguay,2016,Men who have sex with men (MSM) with active syphilis (%),5.7
Paraguay,2014,Men who have sex with men (MSM) with active syphilis (%),14
Paraguay,2013,Men who have sex with men (MSM) with active syphilis (%),6.6
Paraguay,2012,Men who have sex with men (MSM) with active syphilis (%),13.35
Paraguay,2011,Men who have sex with men (MSM) with active syphilis (%),24.57
Paraguay,2010,Men who have sex with men (MSM) with active syphilis (%),18.79
Paraguay,2008,Men who have sex with men (MSM) with active syphilis (%),10.43
Peru,2018,Men who have sex with men (MSM) with active syphilis (%),7.4
Peru,2017,Men who have sex with men (MSM) with active syphilis (%),6.2
Peru,2014,Men who have sex with men (MSM) with active syphilis (%),11.1
Peru,2011,Men who have sex with men (MSM) with active syphilis (%),21.2
Philippines,2016,Men who have sex with men (MSM) with active syphilis (%),2.06
Philippines,2010,Men who have sex with men (MSM) with active syphilis (%),2.09
Portugal,2014,Men who have sex with men (MSM) with active syphilis (%),6.9
Republic of Moldova,2017,Men who have sex with men (MSM) with active syphilis (%),13.3
Republic of Moldova,2013,Men who have sex with men (MSM) with active syphilis (%),5.4
Republic of Moldova,2010,Men who have sex with men (MSM) with active syphilis (%),12.1
Republic of Moldova,2008,Men who have sex with men (MSM) with active syphilis (%),6.45
Rwanda,2016,Men who have sex with men (MSM) with active syphilis (%),3.4
Samoa,2018,Men who have sex with men (MSM) with active syphilis (%),0
Sao Tome and Principe,2018,Men who have sex with men (MSM) with active syphilis (%),0
Senegal,2018,Men who have sex with men (MSM) with active syphilis (%),4.4
Senegal,2016,Men who have sex with men (MSM) with active syphilis (%),1
Senegal,2014,Men who have sex with men (MSM) with active syphilis (%),2.7
Senegal,2013,Men who have sex with men (MSM) with active syphilis (%),0.5
Senegal,2008,Men who have sex with men (MSM) with active syphilis (%),3.4
Senegal,2007,Men who have sex with men (MSM) with active syphilis (%),3.4
Seychelles,2016,Men who have sex with men (MSM) with active syphilis (%),0
